sample	estimated_genome_size	is_paired	original_total_bp	original_coverage	original_read_total	original_read_min	original_read_mean	original_read_std	original_read_median	original_read_max	original_read_25th	original_read_75th	original_qual_min	original_qual_mean	original_qual_std	original_qual_max	original_qual_median	original_qual_25th	original_qual_75th	final_total_bp	final_coverage	final_read_total	final_read_min	final_read_mean	final_read_std	final_read_median	final_read_max	final_read_25th	final_read_75th	final_qual_min	final_qual_mean	final_qual_std	final_qual_max	final_qual_median	final_qual_25th	final_qual_75th	contig_non_acgtn	contig_percent_a	contig_percent_c	contig_percent_g	contig_percent_n	contig_percent_t	contigs_greater_100k	contigs_greater_10k	contigs_greater_1k	contigs_greater_1m	l50_contig_count	max_contig_length	mean_contig_length	median_contig_length	min_contig_length	n50_contig_length	num_contig_non_acgtn	percent_contigs_greater_100k	percent_contigs_greater_10k	percent_contigs_greater_1k	percent_contigs_greater_1m	total_contig	total_contig_length	annotation_organism	annotation_contigs	annotation_bases	annotation_CDS	annotation_gene	annotation_rRNA	annotation_repeat_region	annotation_tRNA	annotation_tmRNA	rank	reason
ERX3310432	2200580	True	330767614	150.309	2190514	151	151	0	151	151	151	151	12	37.841	3.611	40	39.500	37.500	40	220057930	100.000	1468788	35	149.823	3.093	150	150	150	150	12	37.935	3.504	40	39.500	37.500	40	0.00	30.46	19.24	20.25	0.00	30.05	4	41	58	0	11	176241	33751	18893	558	72597	0	6.56	67.21	95.08	0.00	61	2058843	Lactobacillus spp. strain	61	2058843	2014	2060	2		43	1	gold	passed all cutoffs
ERX3310443	2256890	True	320486024	142.003	2122424	151	151	0	151	151	151	151	14	37.717	3.702	40	39.500	37	40	225689024	100.000	1505750	35	149.885	2.574	150	150	150	150	14	37.784	3.640	40	39.500	37	40	0.00	30.22	18.94	20.62	0.00	30.22	5	30	47	0	7	279360	38273	13494	500	73866	0	8.93	53.57	83.93	0.00	56	2143291	Lactobacillus spp. strain	56	2143291	2153	2201	5		42	1	gold	passed all cutoffs
ERX3310445	2305860	True	367106066	159.206	2431166	151	151	0	151	151	151	151	14.500	37.971	3.509	40	39.500	37.500	40	230586126	100.000	1539054	35	149.823	2.959	150	150	150	150	14.500	38.084	3.365	40	39.500	37.500	40	0.00	30.52	19.05	20.48	0.00	29.95	5	34	41	0	9	175253	48588	40020	504	75590	0	11.63	79.07	95.35	0.00	43	2089300	Lactobacillus spp. strain	43	2089300	2049	2094	3		41	1	gold	passed all cutoffs
ERX3310449	2205290	True	311828892	141.400	2065092	151	151	0	151	151	151	151	14	37.724	3.704	40	39.500	37	40	220529103	100.000	1473444	35	149.669	4.293	150	150	150	150	14.500	37.847	3.560	40	39.500	37	40	0.00	30.45	19.20	20.29	0.00	30.06	6	34	49	0	9	176242	38902	19340	558	84696	0	11.32	64.15	92.45	0.00	53	2061835	Lactobacillus spp. strain	53	2061835	2023	2069	2		43	1	gold	passed all cutoffs
ERX3310452	2256430	True	372719340	165.181	2468340	151	151	0	151	151	151	151	12.500	37.848	3.605	40	39.500	37.500	40	225642886	100.000	1505960	35	149.834	2.852	150	150	150	150	14.500	37.939	3.505	40	39.500	37.500	40	0.00	30.04	20.11	19.66	0.00	30.19	7	22	24	0	5	316962	75092	44878	569	124545	0	25.93	81.48	88.89	0.00	27	2027500	Lactobacillus spp. strain	27	2027500	2004	2047	3		39	1	gold	passed all cutoffs
ERX3310456	2196760	True	349426986	159.065	2314086	151	151	0	151	151	151	151	13.500	37.875	3.567	40	39.500	37.500	40	219675881	100.000	1465752	35	149.873	2.521	150	150	150	150	14	37.979	3.444	40	39.500	37.500	40	0.00	30.27	19.79	19.85	0.00	30.08	7	20	25	0	5	335501	75024	56119	603	143722	0	25.93	74.07	92.59	0.00	27	2025665	Lactobacillus spp. strain	27	2025665	1988	2032	3		40	1	gold	passed all cutoffs
ERX3310458	2233100	True	323083224	144.679	2139624	151	151	0	151	151	151	151	13	37.578	3.826	40	39.500	37	40	223309907	100.000	1489552	35	149.917	1.984	150	150	150	150	13	37.688	3.707	40	39.500	37	40	0.00	30.35	19.01	20.54	0.00	30.10	7	34	44	0	9	162323	43196	26824	501	83983	0	14.29	69.39	89.80	0.00	49	2116628	Lactobacillus spp. strain	49	2116628	2124	2170	4		41	1	gold	passed all cutoffs
ERX3310459	2329260	True	341089068	146.437	2258868	151	151	0	151	151	151	151	13.500	37.988	3.549	40	39.500	37.500	40	232925980	100.000	1557450	35	149.556	4.849	150	150	150	150	13.500	38.160	3.317	40	39.500	37.500	40	0.00	30.28	19.34	20.31	0.00	30.08	4	32	46	0	8	304238	40334	25327	507	84803	0	7.84	62.75	90.20	0.00	51	2057037	Lactobacillus spp. strain	51	2057037	2032	2075	3		39	1	gold	passed all cutoffs
ERX3310460	2256860	True	360875504	159.902	2389904	151	151	0	151	151	151	151	12.500	37.995	3.502	40	39.500	37.500	40	225686090	100.000	1506028	35	149.855	2.762	150	150	150	150	14.500	38.107	3.358	40	39.500	37.500	40	0.00	30.24	19.24	20.29	0.00	30.22	5	32	39	0	8	196403	48768	34584	501	94604	0	11.90	76.19	92.86	0.00	42	2048275	Lactobacillus spp. strain	42	2048275	2000	2043	3		39	1	gold	passed all cutoffs
ERX3310479	2314820	True	411442686	177.743	2724786	151	151	0	151	151	151	151	13	37.805	3.673	40	39.500	37	40	231481929	100.000	1545112	35	149.815	3.087	150	150	150	150	13.500	37.941	3.504	40	39.500	37.500	40	0.00	30.30	19.09	20.55	0.00	30.06	7	32	43	0	8	254672	41454	23187	578	88036	0	13.73	62.75	84.31	0.00	51	2114198	Lactobacillus spp. strain	51	2114198	2132	2175	3		39	1	gold	passed all cutoffs
ERX3310483	2210260	True	245367450	111.013	1624950	151	151	0	151	151	151	151	12	37.794	3.683	40	39.500	37.500	40	221025877	100.000	1475290	35	149.819	3.158	150	150	150	150	12	37.980	3.440	40	39.500	37.500	40	0.00	30.22	19.36	20.17	0.00	30.25	6	30	37	0	7	224342	49976	32843	501	99722	0	14.63	73.17	90.24	0.00	41	2049054	Lactobacillus spp. strain	41	2049054	2000	2043	3		39	1	gold	passed all cutoffs
ERX3310490	2183720	True	298875206	136.865	1979306	151	151	0	151	151	151	151	15	37.769	3.667	40	39.500	37	40	218372062	100.000	1456980	35	149.880	2.487	150	150	150	150	15.500	37.863	3.561	40	39.500	37	40	0.00	30.46	19.11	20.40	0.00	30.03	7	31	45	0	8	163667	40188	18893	558	96294	0	13.73	60.78	88.24	0.00	51	2049620	Lactobacillus spp. strain	51	2049620	2005	2052	4		42	1	gold	passed all cutoffs
ERX3427100	2910730	True	382420486	131.383	2532586	151	151	0	151	151	151	151	14	37.913	3.741	40	39.500	38	40	291073223	100.000	1941374	35	149.931	1.780	150	150	150	150	15	37.946	3.717	40	40	38	40	0.00	26.67	24.04	22.63	0.00	26.65	7	50	56	0	9	313070	49688	30909	532	76801	0	11.86	84.75	94.92	0.00	59	2931626	Lactobacillus spp. strain	59	2931626	2713	2776	7		55	1	gold	passed all cutoffs
ERX358254	2218930	True	1035370200	466.608	10353702	100	100	0	100	100	100	100	4.500	35.446	4.226	40	37	35	38	221893010	100.000	2219792	35	99.961	1.037	100	100	100	100	12	35.603	3.880	40	37	35	38	0.00	32.88	17.07	17.49	0.00	32.56	6	19	26	0	3	670033	75344	39917	1275	167398	0	23.08	73.08	100.00	0.00	26	1958960	Lactobacillus spp. strain	26	1958960	1843	1905	3	2	58	1	gold	passed all cutoffs
ERX358255	2261430	True	1077699800	476.556	10776998	100	100	0	100	100	100	100	4.500	35.441	4.227	40	37	35	38	226142982	100.000	2262296	35	99.962	1.031	100	100	100	100	13	35.615	3.835	40	37	35	38	0.00	32.88	17.06	17.50	0.00	32.55	5	18	24	0	3	676298	81631	39917	1275	183608	0	20.83	75.00	100.00	0.00	24	1959162	Lactobacillus spp. strain	24	1959162	1844	1906	3	2	58	1	gold	passed all cutoffs
ERX358256	2062780	True	859046800	416.450	8590468	100	100	0	100	100	100	100	4.500	35.523	4.218	40	37	35	38	206278158	100.000	2063636	35	99.959	1.108	100	100	100	100	12.500	35.714	3.785	40	37	35	38	0.00	32.84	17.09	17.48	0.00	32.58	5	17	22	0	3	676300	88787	39917	1315	230510	0	22.73	77.27	100.00	0.00	22	1953321	Lactobacillus spp. strain	22	1953321	1839	1901	3	2	58	1	gold	passed all cutoffs
ERX358257	2187600	True	978851400	447.454	9788514	100	100	0	100	100	100	100	4.500	35.534	4.150	40	37	35	38	218760027	100.000	2188436	35	99.962	1.035	100	100	100	100	12.500	35.698	3.775	40	37	35	38	0.00	32.88	17.11	17.45	0.00	32.56	6	17	23	0	3	670556	81675	39917	518	167329	0	25.00	70.83	95.83	0.00	24	1960217	Lactobacillus spp. strain	24	1960217	1847	1909	3	2	58	1	gold	passed all cutoffs
ERX358258	2135110	True	864816200	405.046	8648162	100	100	0	100	100	100	100	4.500	35.365	4.307	40	37	35	38	213511020	100.000	2135904	36	99.963	1.016	100	100	100	100	12	35.549	3.913	40	37	35	38	0.00	32.88	17.08	17.50	0.00	32.55	6	18	24	0	3	670618	81299	39917	1275	167329	0	25.00	75.00	100.00	0.00	24	1951196	Lactobacillus spp. strain	24	1951196	1838	1900	3	2	58	1	gold	passed all cutoffs
ERX358259	2210060	True	837256800	378.838	8372568	100	100	0.000	100	100	100	100	4	35.229	4.601	40	37	35	38	221006023	100.000	2210954	35	99.960	1.085	100	100	100	100	13	35.567	3.954	40	37	35	38	0.00	32.88	17.06	17.50	0.00	32.56	5	18	24	0	3	675882	81658	39917	1315	184273	0	20.83	75.00	100.00	0.00	24	1959808	Lactobacillus spp. strain	24	1959808	1848	1910	3	2	58	1	gold	passed all cutoffs
ERX358260	2104360	True	697735600	331.566	6977356	100	100	0	100	100	100	100	4	35.158	4.683	40	37	35	38	210435946	100.000	2105322	35	99.954	1.249	100	100	100	100	13	35.531	3.977	40	37	35	38	0.00	32.89	17.06	17.50	0.00	32.55	5	17	22	0	3	676298	89129	39917	1315	228845	0	22.73	77.27	100.00	0.00	22	1960851	Lactobacillus spp. strain	22	1960851	1847	1909	3	2	58	1	gold	passed all cutoffs
ERX358261	2164910	True	971653200	448.820	9716532	100	100	0	100	100	100	100	4	35.538	4.233	40	37	35	38	216490881	100.000	2165748	37	99.961	1.031	100	100	100	100	12	35.723	3.799	40	37	35	38	0.00	32.88	17.11	17.46	0.00	32.56	5	16	21	0	3	676265	93383	41961	1315	228845	0	23.81	76.19	100.00	0.00	21	1961044	Lactobacillus spp. strain	21	1961044	1847	1909	3	2	58	1	gold	passed all cutoffs
ERX358262	2254370	True	1069493600	474.410	10694936	100	100	0	100	100	100	100	4.500	35.544	4.157	40	37	35	38	225437169	100.000	2255246	35	99.961	1.038	100	100	100	100	13	35.689	3.809	40	37	35	38	0.00	32.95	16.93	17.62	0.00	32.50	6	18	22	0	4	398576	83532	45190	833	219604	0	25.00	75.00	91.67	0.00	24	2004790	Lactobacillus spp. strain	24	2004790	1888	1949	4	2	56	1	gold	passed all cutoffs
ERX358263	2351890	True	1094161200	465.226	10941612	100	100	0.000	100	100	100	100	4	35.488	4.172	40	37	35	38	235189060	100.000	2352836	35	99.960	1.061	100	100	100	100	13	35.648	3.800	40	37	35	38	0.00	32.92	16.93	17.61	0.00	32.53	4	22	29	0	4	472785	62676	36008	511	138425	0	12.50	68.75	90.62	0.00	32	2005650	Lactobacillus spp. strain	32	2005650	1890	1951	4	2	56	1	gold	passed all cutoffs
ERX358264	2290980	True	1176253400	513.428	11762534	100	100	0	100	100	100	100	4.500	35.664	4.073	40	37	35	38	229098066	100.000	2291858	35	99.962	1.040	100	100	100	100	13	35.833	3.660	40	37	35.500	38	0.00	32.89	16.95	17.60	0.00	32.56	6	18	28	0	3	705365	70936	39414	1133	171571	0	21.43	64.29	100.00	0.00	28	1986231	Lactobacillus spp. strain	28	1986231	1886	1948	3	1	58	1	gold	passed all cutoffs
ERX358265	2350690	True	1024406200	435.790	10244062	100	100	0	100	100	100	100	4.500	35.576	4.247	40	37	35	38	235069153	100.000	2351638	35	99.960	1.112	100	100	100	100	13	35.863	3.612	40	37	35.500	38	0.00	32.92	17.04	17.51	0.00	32.53	6	21	29	0	4	320292	64772	24672	763	183997	0	19.35	67.74	93.55	0.00	31	2007947	Lactobacillus spp. strain	31	2007947	1890	1951	4	2	56	1	gold	passed all cutoffs
ERX358266	2316290	True	1178007000	508.574	11780070	100	100	0	100	100	100	100	4.500	35.771	4.008	40	37.500	35.500	38	231628973	100.000	2317340	35	99.955	1.152	100	100	100	100	12.500	35.935	3.591	40	37.500	35.500	38	0.00	33.06	16.90	17.64	0.00	32.40	0	68	213	0	42	74948	8826	6155	520	14056	0	0.00	30.09	94.25	0.00	226	1994706	Lactobacillus spp. strain	226	1994706	1838	1896	3	2	54	1	bronze	Too many contigs (226, expect <= 200)
ERX358267	2269100	True	1075430800	473.946	10754308	100	100	0	100	100	100	100	4	35.594	4.306	40	37	35	38	226910050	100.000	2269964	35	99.962	1.046	100	100	100	100	13	35.868	3.682	40	37.500	35.500	38	0.00	32.90	17.02	17.55	0.00	32.52	5	18	25	0	3	551518	70935	27816	662	228775	0	17.86	64.29	89.29	0.00	28	1986183	Lactobacillus spp. strain	28	1986183	1874	1933	4	2	54	1	gold	passed all cutoffs
ERX358268	2271050	True	1232420200	542.666	12324202	100	100	0	100	100	100	100	4.500	35.864	3.970	40	37.500	35.500	38	227105100	100.000	2271932	35	99.961	1.052	100	100	100	100	12.500	36.079	3.432	40	37.500	35.500	38	0.00	32.89	17.15	17.43	0.00	32.53	4	14	19	0	2	872204	94935	20612	682	230455	0	19.05	66.67	90.48	0.00	21	1993641	Lactobacillus spp. strain	21	1993641	1870	1933	4	2	58	1	gold	passed all cutoffs
ERX358269	2254370	True	1352519000	599.954	13525190	100	100	0	100	100	100	100	4	35.963	3.717	40	37.500	35.500	38	225437018	100.000	2255254	35	99.961	1.076	100	100	100	100	13	36.085	3.371	40	37.500	35.500	38	0.00	32.88	16.98	17.61	0.00	32.54	5	18	24	0	3	687997	76059	29605	678	191930	0	19.23	69.23	92.31	0.00	26	1977544	Lactobacillus spp. strain	26	1977544	1858	1920	3	2	58	1	gold	passed all cutoffs
ERX358270	2361790	True	1202257400	509.046	12022574	100	100	0	100	100	100	100	4.500	35.721	3.925	40	37	35.500	38	236179075	100.000	2362684	35	99.962	1.023	100	100	100	100	13.500	35.841	3.611	40	37	35.500	38	0.00	32.99	17.28	17.27	0.00	32.47	8	20	30	0	5	357796	60431	20640	592	167469	0	24.24	60.61	90.91	0.00	33	1994224	Lactobacillus spp. strain	33	1994224	1919	1981	3	2	58	1	gold	passed all cutoffs
ERX358271	2320680	True	1206710400	519.982	12067104	100	100	0	100	100	100	100	4	35.772	3.933	40	37	35.500	38	232068039	100.000	2321612	35	99.960	1.081	100	100	100	100	12	35.912	3.560	40	37	35.500	38	0.00	33.04	16.94	17.60	0.00	32.42	6	21	28	0	3	710649	66449	27683	759	132627	0	20.00	70.00	93.33	0.00	30	1993477	Lactobacillus spp. strain	30	1993477	1923	1984	3	2	57	1	gold	passed all cutoffs
ERX358272	2206350	True	1152067600	522.160	11520676	100	100	0	100	100	100	100	4.500	35.671	4.017	40	37	35	38	220635061	100.000	2207170	35	99.963	1.034	100	100	100	100	13.500	35.802	3.694	40	37	35.500	38	0.00	32.92	16.98	17.59	0.00	32.51	5	18	22	0	3	535224	88668	37972	1315	210703	0	22.73	81.82	100.00	0.00	22	1950706	Lactobacillus spp. strain	22	1950706	1870	1929	2	2	56	1	gold	passed all cutoffs
ERX358273	2060830	True	783320200	380.100	7833202	100	100	0	100	100	100	100	4.500	35.263	4.422	40	37	35	38	206083001	100.000	2061654	35	99.960	1.046	100	100	100	100	12.500	35.459	4.013	40	37	35	38	0.00	32.64	17.67	16.91	0.00	32.78	6	17	21	0	3	670604	92784	62556	1207	167345	0	28.57	80.95	100.00	0.00	21	1948479	Lactobacillus spp. strain	21	1948479	1871	1932	3	2	57	1	gold	passed all cutoffs
ERX358274	3019200	True	811938400	268.926	8119384	100	100	0.000	100	100	100	100	4.500	32.844	6.950	40	36.500	29.500	37.500	301920160	100.000	3020586	35	99.954	1.240	100	100	100	100	12.500	35.393	4.100	40	37	35	38	0.00	32.81	17.21	17.36	0.00	32.63	4	19	26	0	3	676298	75351	39917	1275	173918	0	15.38	73.08	100.00	0.00	26	1959134	Lactobacillus spp. strain	26	1959134	1846	1908	3	2	58	1	gold	passed all cutoffs
ERX358275	2412210	True	778721600	322.824	7787216	100	100	0	100	100	100	100	4.500	34.424	5.501	40	37	33.500	38	241221087	100.000	2413178	35	99.960	1.076	100	100	100	100	13	35.346	4.114	40	37	35	38	0.00	32.89	17.06	17.50	0.00	32.56	5	18	23	0	3	676298	81611	39917	934	183592	0	20.83	75.00	95.83	0.00	24	1958675	Lactobacillus spp. strain	24	1958675	1847	1909	3	2	58	1	gold	passed all cutoffs
ERX358276	2238520	True	1045821200	467.194	10458212	100	100	0	100	100	100	100	4.500	35.675	4.062	40	37	35	38	223852119	100.000	2239392	36	99.961	1.046	100	100	100	100	13	35.839	3.663	40	37	35.500	38	0.00	32.98	16.78	17.77	0.00	32.46	6	23	32	0	5	391220	57634	35026	832	121366	0	17.65	67.65	94.12	0.00	34	1959557	Lactobacillus spp. strain	34	1959557	1847	1909	3	2	58	1	gold	passed all cutoffs
ERX358277	2214980	True	994128400	448.820	9941284	100	100	0	100	100	100	100	4	35.512	4.265	40	37	35	38	221498113	100.000	2215898	35	99.959	1.101	100	100	100	100	13.500	35.740	3.764	40	37	35	38	0.00	32.88	17.06	17.50	0.00	32.55	5	18	24	0	3	676298	81649	39917	1275	183611	0	20.83	75.00	100.00	0.00	24	1959588	Lactobacillus spp. strain	24	1959588	1846	1908	3	2	58	1	gold	passed all cutoffs
ERX358278	2250380	True	868405600	385.892	8684056	100	100	0	100	100	100	100	4.500	35.044	4.633	40	37	34.500	38	225038108	100.000	2251296	35	99.959	1.061	100	100	100	100	12.500	35.328	4.106	40	37	35	38	0.00	32.93	16.87	17.69	0.00	32.51	5	22	27	0	4	528369	67546	41961	803	147917	0	17.24	75.86	93.10	0.00	29	1958857	Lactobacillus spp. strain	29	1958857	1847	1909	3	2	58	1	gold	passed all cutoffs
ERX358279	2351890	True	697419600	296.536	6974196	100	100	0	100	100	100	100	4.500	34.287	5.559	40	36.500	33.500	37.500	235189152	100.000	2352848	35	99.959	1.085	100	100	100	100	12	35.188	4.263	40	37	34.500	38	0.00	32.87	17.09	17.47	0.00	32.56	5	20	26	0	3	676298	72569	35533	974	167437	0	18.52	74.07	96.30	0.00	27	1959365	Lactobacillus spp. strain	27	1959365	1844	1906	3	2	58	1	gold	passed all cutoffs
ERX358280	2218930	True	959609000	432.464	9596090	100	100	0	100	100	100	100	4	35.555	4.332	40	37	35	38	221892908	100.000	2219976	35	99.953	1.294	100	100	100	100	13	35.903	3.601	40	37.500	35.500	38	0.00	32.88	17.10	17.46	0.00	32.56	5	19	25	0	3	676298	75418	32205	803	184191	0	19.23	73.08	96.15	0.00	26	1960870	Lactobacillus spp. strain	26	1960870	1846	1908	3	2	58	1	gold	passed all cutoffs
ERX358281	2613020	True	998198200	382.010	9981982	100	100	0	100	100	100	100	4.500	34.442	5.801	40	37	34	38	261302051	100.000	2614164	35	99.956	1.176	100	100	100	100	12	35.773	3.757	40	37	35	38	0.00	32.87	17.11	17.46	0.00	32.56	5	17	23	0	3	676298	85268	41961	1275	184446	0	21.74	73.91	100.00	0.00	23	1961169	Lactobacillus spp. strain	23	1961169	1845	1907	3	2	58	1	gold	passed all cutoffs
ERX358282	2286890	True	1381030000	603.890	13810300	100	100	0	100	100	100	100	4	35.771	4.128	40	37.500	35.500	38	228689099	100.000	2287776	35	99.961	1.054	100	100	100	100	13	36.055	3.456	40	37.500	35.500	38	0.00	32.88	17.11	17.46	0.00	32.56	5	17	22	0	3	676298	89117	44327	1275	183544	0	22.73	77.27	100.00	0.00	22	1960583	Lactobacillus spp. strain	22	1960583	1846	1908	3	2	58	1	gold	passed all cutoffs
ERX358283	3347730	True	1025786600	306.412	10257866	100	100	0	100	100	100	100	4	31.412	6.803	39.500	35	27	36.500	334773085	100.000	3349972	35	99.933	1.248	100	100	100	100	13	33.988	4.253	39.500	35.500	33	36.500	0.00	26.20	24.03	23.74	0.00	26.03	4	68	133	0	19	126584	18281	8533	510	40307	0	2.65	45.03	88.08	0.00	151	2760533	Lactobacillus spp. strain	151	2760533	2682	2738	2		53	1	silver	Too many contigs (151, expect <= 100)
ERX358284	3102980	True	738129800	237.878	7381298	100	100	0	100	100	100	100	4.500	32.956	5.758	40	35.500	31.500	36.500	310297951	100.000	3106016	35	99.902	1.922	100	100	100	100	12.500	34.252	4.063	40	36	33	37	0.00	26.19	24.09	23.68	0.00	26.04	2	71	136	0	21	118161	18219	8751	510	38722	0	1.32	46.71	89.47	0.00	152	2769420	Lactobacillus spp. strain	152	2769420	2691	2747	3		52	1	silver	Too many contigs (152, expect <= 100)
ERX358285	2291000	True	650568400	283.966	6505684	100	100	0	100	100	100	100	4.500	34.096	5.944	40	36.500	33.500	37.500	229099931	100.000	2292120	35	99.951	1.275	100	100	100	100	12	35.462	4.031	40	37	35	38	0.00	32.13	18.23	16.78	0.00	32.87	6	16	24	0	4	370785	69991	16352	510	234808	0	23.08	61.54	92.31	0.00	26	1819768	Lactobacillus spp. strain	26	1819768	1739	1793	4		49	1	gold	passed all cutoffs
ERX358286	3563140	True	1169651200	328.264	11696512	100	100	0	100	100	100	100	4.500	34.159	4.580	40	36	33.500	37	356314092	100.000	3565336	35	99.938	1.193	100	100	100	100	12.500	34.453	4.016	40	36	34	37	0.00	27.01	23.06	23.20	0.00	26.73	7	51	83	0	12	250841	33043	12345	563	76818	0	7.69	56.04	91.21	0.00	91	3006966	Lactobacillus spp. strain	91	3006966	2816	2874	5	1	52	1	gold	passed all cutoffs
ERX358287	3714790	True	1105330200	297.548	11053302	100	100	0	100	100	100	100	4.500	33.557	4.944	39.500	35.500	32.500	36.500	371479042	100.000	3717054	35	99.939	1.081	100	100	100	100	12.500	34.005	4.218	39.500	35.500	33	36.500	0.00	26.26	23.96	23.81	0.00	25.97	2	74	137	0	22	126607	17699	8750	510	38602	0	1.28	47.44	87.82	0.00	156	2761164	Lactobacillus spp. strain	156	2761164	2683	2737	2		51	1	silver	Too many contigs (156, expect <= 100)
ERX358288	3520160	True	1240008000	352.258	12400080	100	100	0.000	100	100	100	100	4.500	34.292	4.500	40	36	33.500	37	352015983	100.000	3522222	35	99.941	1.167	100	100	100	100	12	34.524	4.043	40	36	34	37	0.00	27.74	22.17	22.33	0.00	27.75	9	19	24	0	3	822771	127833	60838	541	311622	0	36.00	76.00	96.00	0.00	25	3195843	Lactobacillus spp. strain	25	3195843	2993	3058	3	1	61	1	gold	passed all cutoffs
ERX358289	3495750	True	1199338800	343.084	11993388	100	100	0.000	100	100	100	100	4.500	34.225	4.626	40	36	33	37	349574916	100.000	3497832	35	99.940	1.217	100	100	100	100	13	34.538	4.043	40	36	34	37	0.00	27.80	22.40	22.07	0.00	27.73	9	18	24	0	4	545140	128357	73657	556	244911	0	36.00	72.00	96.00	0.00	25	3208928	Lactobacillus spp. strain	25	3208928	3010	3069	2		56	1	gold	passed all cutoffs
ERX359689	2295720	True	407731000	177.605	4077310	100	100	0	100	100	100	100	6	34.664	2.418	37	36	34.500	36	229571931	100.000	2296776	35	99.954	1.103	100	100	100	100	14.500	34.709	2.200	37	36	34.500	36	0.00	31.44	18.13	19.48	0.00	30.95	7	28	40	0	7	350890	49410	28593	571	109011	0	15.56	62.22	88.89	0.00	45	2223454	Lactobacillus spp. strain	45	2223454	2102	2153	5	1	45	1	gold	passed all cutoffs
ERX359690	3263230	True	333507200	102.202	3335072	100	100	0	100	100	100	100	5.500	34.283	2.686	37	35	33.500	36	326322872	100.000	3265014	35.500	99.945	1.264	100	100	100	100	13.500	34.340	2.456	37	35	33.500	36	0.00	26.18	23.96	23.78	0.00	26.08	1	100	216	0	38	107974	12264	6513	500	25452	0	0.40	39.84	86.06	0.00	251	3078386	Lactobacillus spp. strain	251	3078386	3001	3061	3		56	1	bronze	Too many contigs (251, expect <= 200)
ERX359691	1758540	True	455120000	258.806	4551200	100	100	0	100	100	100	100	6	34.683	2.419	37	36	34.500	36	175854141	100.000	1759708	35	99.934	1.474	100	100	100	100	14.500	34.724	2.217	37	36	34.500	36	0.00	32.31	17.86	16.09	0.00	33.74	4	36	54	0	7	322187	24923	12007	507	57255	0	5.97	53.73	80.60	0.00	67	1669874	Lactobacillus spp. strain	67	1669874	1580	1657	6		70	1	gold	passed all cutoffs
ERX359692	2170790	True	363456000	167.430	3634560	100	100	0	100	100	100	100	5	34.010	2.826	37	35	33.500	36	217079068	100.000	2171938	35	99.947	1.258	100	100	100	100	15	34.063	2.627	37	35	33.500	36	0.00	23.74	26.37	26.08	0.00	23.82	1	54	74	0	15	106513	22127	14500	520	40089	0	1.18	63.53	87.06	0.00	85	1880847	Lactobacillus spp. strain	85	1880847	1848	1906	3	1	54	1	gold	passed all cutoffs
ERX359693	2548520	True	431697200	169.391	4316972	100	100	0	100	100	100	100	5.500	34.614	2.458	37	35.500	34.500	36	254851947	100.000	2549666	35.500	99.955	1.124	100	100	100	100	14.500	34.663	2.221	37	35.500	34.500	36	0.00	29.25	20.91	20.78	0.00	29.05	5	51	78	0	12	182722	28101	15867	593	66517	0	5.88	60.00	91.76	0.00	85	2388602	Lactobacillus spp. strain	85	2388602	2272	2328	4	3	51	1	gold	passed all cutoffs
ERX359694	3757470	True	384013400	102.200	3840134	100	100	0	100	100	100	100	6	34.267	2.724	37	35.500	33.500	36	375746992	100.000	3759416	35	99.948	1.231	100	100	100	100	15	34.318	2.526	37	35.500	33.500	36	0.00	28.10	22.17	21.79	0.00	27.95	11	42	54	0	8	415128	59578	35253	609	113595	0	18.97	72.41	93.10	0.00	58	3455564	Lactobacillus spp. strain	58	3455564	3305	3359	2	3	51	1	gold	passed all cutoffs
ERX359695	1998130	True	418101200	209.246	4181012	100	100	0.000	100	100	100	100	5.500	34.512	2.518	37	35.500	34.500	36	199813153	100.000	1999090	37	99.952	1.142	100	100	100	100	15	34.560	2.293	36.500	35.500	34.500	36	0.00	28.70	21.79	20.17	0.00	29.35	1	35	59	0	12	121932	27892	14961	506	59799	0	1.54	53.85	90.77	0.00	65	1812980	Lactobacillus spp. strain	65	1812980	1822	1877	3	2	51	1	gold	passed all cutoffs
ERX359697	3066630	True	455625400	148.575	4556254	100	100	0	100	100	100	100	5.500	34.497	2.542	37	35.500	34.500	36	306662931	100.000	3068056	36	99.954	1.142	100	100	100	100	15	34.548	2.314	37	35.500	34.500	36	0.00	29.17	21.25	20.81	0.00	28.77	6	62	98	0	16	184695	24275	10891	511	51341	0	5.13	52.99	83.76	0.00	117	2840217	Lactobacillus spp. strain	117	2840217	2728	2791	2	2	60	1	silver	Too many contigs (117, expect <= 100)
ERX359699	2655680	True	415693800	156.530	4156938	100	100	0	100	100	100	100	5.500	33.901	2.914	37	35	33	36	265568092	100.000	2657900	35	99.916	1.583	100	100	100	100	15	33.965	2.696	36.500	35	33	36	0.00	22.20	28.04	27.41	0.00	22.35	7	49	84	0	13	145525	27656	12559	563	65830	0	7.61	53.26	91.30	0.00	92	2544416	Lactobacillus spp. strain	92	2544416	2392	2447	4		50	1	gold	passed all cutoffs
