sample	assembly_species	assembly_taxon	top_mapped_taxon	top_mapped_reads	chao1_estimate	assembly_hit	input_reads	mapped_reads	ntu_observed_once	ntu_observed_twice	ntu_observed_three_plus	message
ERX358286	Lactobacillus paracasei	Lactobacillus	Lactobacillus	4996	n.d.	CP029686.1212146.1213724	1782668	5536	4	0	10	
ERX358287	Lactobacillus casei subsp. casei ATCC 393	Lactobacillus	Lactobacillus	5637	18.000	AP012544.709397.710970	1858527	6290	4	1	10	
ERX358288	Lactobacillus plantarum	Lactobacillus	Lactobacillus	5097	n.d.	CP011769.1010671.1012246	1761111	5796	1	0	10	
ERX358289	Lactobacillus plantarum	Lactobacillus	Lactobacillus	4911	n.d.	CP011769.1010671.1012246	1748916	5570	1	0	11	
ERX359689	Lactobacillus capillatus	Lactobacillus	Lactobacillus	3566	17.167	AB365976.1.1526	1148388	4648	5	3	13	
ERX359690	Lactobacillus manihotivorans	Lactobacillus	Lactobacillus	3878	n.d.	AF000162.1.1559	1632507	4584	2	0	13	
ERX359691	Lactobacillus hayakitensis	Lactobacillus	Lactobacillus	5965	20.500	AB267406.1.1484	879854	7897	3	3	19	
ERX359692	Lactobacillus fermentum	Lactobacillus	Lactobacillus	4817	n.d.	CP025592.1563082.1564661	1085969	5403	3	0	9	
ERX359693	Lactobacillus kefiri	Lactobacillus	Lactobacillus	1993	9.000	AB429371.1.1566	1274833	2345	2	2	8	
ERX359694	Lactobacillus composti	Lactobacillus	Lactobacillus	3558	23.000	AB268118.1.1522	1879708	4469	6	2	14	
ERX359695	Lactobacillus curvatus	Lactobacillus	Lactobacillus	4799	13.500	AP018699.1478534.1480099	999545	6209	3	3	12	
ERX359697	Lactobacillus farraginis	Lactobacillus	Lactobacillus	2869	12.000	AB262731.1.1514	1534028	3276	2	2	11	
ERX359699	Lactobacillus camelliae	Lactobacillus	Lactobacillus	3821	27.500	AB257864.1.1530	1328950	4712	5	1	15	
ERX359701	Lactobacillus alimentarius DSM 20249	Lactobacillus	Lactobacillus	3326	n.d.	CP018867.982380.983954	1235236	3874	3	0	9	
ERX359704	Lactobacillus equigenerosi	Lactobacillus	Lactobacillus	3518	15.500	AB288049.1.1516	821062	4512	3	1	11	
ERX359706	Lactobacillus fabifermentans	Lactobacillus	Lactobacillus	4796	n.d.	AM905388.1.1532	1682010	5525	3	0	12	
ERX359707	Lactobacillus lindneri	Lactobacillus	Lactobacillus	5007	21.500	CP014907.97049.98633	775230	5590	5	1	9	
ERX359709	Lactobacillus fuchuensis	Lactobacillus	Lactobacillus	4295	17.000	JX986973.1.1524	1027880	5306	6	3	11	
ERX359710	Lactobacillus diolivorans	Lactobacillus	Lactobacillus	3281	n.d.	AB429369.1.1535	1706286	3825	4	0	10	
ERX359712	Lactobacillus hammesii	Lactobacillus	Lactobacillus	5621	73.500	AJ632219.1.1549	1776028	6378	11	1	13	
ERX359713	Lactobacillus zymae	Lactobacillus	Lactobacillus	4570	n.d.	LT854705.1650814.1652357	1520324	5604	2	0	12	
ERX359714	Lactobacillus kefiranofaciens ZW3	Lactobacillus	Lactobacillus	4818	13.000	CP002764.142439.144002	1087316	5221	2	1	11	
ERX359715	Lactobacillus delbrueckii subsp. bulgaricus ND02	Lactobacillus	Lactobacillus	7997	28.000	CP002341.1744598.1746158	974554	8980	6	1	10	
ERX359716	Lactobacillus iners	Lactobacillus	Lactobacillus	2795	18.000	HE573916.1.1560	830149	3891	4	1	10	
ERX359717	Lactobacillus amylophilus DSM 20533 = JCM 1125	Lactobacillus	Lactobacillus	3029	11.500	CP018888.1144590.1146171	803517	3902	1	1	11	
ERX359719	Lactobacillus floricola	Lactobacillus	Lactobacillus	2527	10.000	AB523780.1.1566	687575	3682	2	2	9	
ERX359720	Lactobacillus brantae	Lactobacillus	Lactobacillus	4348	n.d.	HQ022861.1.2246	1028172	5934	2	0	11	
ERX359721	Lactobacillus crustorum	Lactobacillus	Lactobacillus	3052	n.d.	CP017996.2229707.2231261	1079678	3381	3	0	8	
ERX359722	Lactobacillus plantarum	Lactobacillus	Lactobacillus	3391	n.d.	CP032359.485125.486700	1637438	3895	2	0	10	
ERX359723	Lactobacillus aquaticus	Lactobacillus	Lactobacillus	4053	n.d.	DQ664203.1.1528	1240108	5373	7	0	12	
ERX359725	Lactobacillus futsaii	Lactobacillus	Lactobacillus	2707	n.d.	HQ322270.1.1542	1194058	3107	4	0	9	
ERX359726	Lactobacillus paralimentarius	Lactobacillus	Lactobacillus	3982	11.000	AY681134.1.1527	1456762	4447	2	1	9	
ERX359728	Lactobacillus agilis	Lactobacillus	Lactobacillus	5950	21.500	CP016766.1625693.1627264	1061075	7582	3	1	17	
ERX359729	Lactobacillus ingluviei	Lactobacillus	Lactobacillus	4335	16.500	AF317702.1.1532	1127400	4870	3	1	12	
ERX359730	Lactobacillus parabuchneri	Lactobacillus	Lactobacillus	3336	n.d.	CP018796.1956265.1957835	1295455	3810	6	0	9	
ERX359731	Lactobacillus vaccinostercus	Lactobacillus	Lactobacillus	5528	14.000	AM113786.1.1553	1361084	6460	2	1	12	
ERX359732	Lactobacillus ghanensis	Lactobacillus	Lactobacillus	4306	14.500	DQ523489.1.1460	1322620	5408	1	1	14	
ERX359733	Lactobacillus amylovorus	Lactobacillus	Lactobacillus	4142	13.000	EF120369.1.1560	1000155	4608	2	1	11	
ERX359734	Lactobacillus murinus	Lactobacillus	Lactobacillus	4430	20.500	CP023566.832314.833884	1156091	5406	3	1	16	
ERX359735	Lactobacillus nagelii	Lactobacillus	Lactobacillus	4183	19.500	AB162131.1.1531	1276519	5182	3	1	15	
ERX359736	Lactobacillus pantheris	Lactobacillus	Lactobacillus	3595	n.d.	AF413523.1.1559	1357369	4288	0	0	10	
ERX359737	Lactobacillus hamsteri	Lactobacillus	Lactobacillus	4910	12.250	AJ306298.1.1510	984118	5526	3	2	10	
ERX359738	Lactobacillus gallinarum	Lactobacillus	Lactobacillus	3920	12.000	AJ417737.1.1546	943364	4418	2	1	10	
ERX359739	Lactobacillus equi	Lactobacillus	Lactobacillus	5328	27.000	AB048833.1.1432	1191121	10015	6	2	18	
ERX359740	Lactobacillus intestinalis	Lactobacillus	Lactobacillus	3156	10.500	AJ306299.1.1513	1008373	3566	1	1	10	
ERX359741	Lactobacillus kalixensis	Lactobacillus	Lactobacillus	3617	15.000	AY253657.1.1555	1039031	4181	2	1	13	
ERX359742	Lactobacillus kitasatonis	Lactobacillus	Lactobacillus	4242	n.d.	AB107638.1.1506	983587	4818	2	0	13	
ERX359743	Lactobacillus otakiensis	Lactobacillus	Lactobacillus	3453	n.d.	AB366386.1.1566	1152996	4011	6	0	10	
ERX359744	Lactobacillus nodensis	Lactobacillus	Lactobacillus	2925	n.d.	AB332024.1.1556	1369251	3400	0	0	13	
ERX359745	Lactobacillus oeni	Lactobacillus	Lactobacillus	3009	23.000	AY681127.1.1556	1069910	3656	4	1	15	
ERX359746	Lactobacillus rapi	Lactobacillus	Lactobacillus	3736	10.000	AB366389.1.1566	1433255	4165	2	1	8	
ERX359747	Lactobacillus nasuensis	Lactobacillus	Lactobacillus	4368	23.500	AB608051.1.1488	1223483	5200	5	1	11	
ERX359748	Lactobacillus oligofermentans DSM 15707 = LMG 22743	Lactobacillus	Lactobacillus	5951	12.000	LN898144.1236251.1237819	1520135	7024	2	1	10	
ERX359749	Lactobacillus perolens	Lactobacillus	Lactobacillus	2657	17.000	Y19167.1.1566	1749341	3145	4	1	9	
ERX359750	Lactobacillus jensenii	Lactobacillus	Lactobacillus	3600	n.d.	CP018809.1516019.1517589	817044	4342	2	0	10	
ERX359751	Lactobacillus paralimentarius	Lactobacillus	Lactobacillus	3660	16.000	AJ417500.1.1563	1289951	4066	4	1	8	
ERX359752	Lactobacillus plantarum subsp. argentoratensis	Lactobacillus	Lactobacillus	3337	10.500	CP032751.1080316.1081891	1571580	3806	1	1	10	
ERX359754	Lactobacillus mindensis	Lactobacillus	Lactobacillus	3738	n.d.	AJ313530.1.1544	1244649	4154	2	0	8	
ERX359755	Lactobacillus mali KCTC 3596 = DSM 20444	Lactobacillus	Lactobacillus	3792	n.d.	BACP01000083.72.1611	1173681	4649	5	0	14	
ERX359756	Lactobacillus delbrueckii subsp. bulgaricus	Lactobacillus	Lactobacillus	7696	29.000	CP013610.42022.43573	944768	9402	6	1	11	
ERX359757	Lactobacillus acetotolerans	Lactobacillus	Lactobacillus	2861	n.d.	AP014808.73744.75256	829525	3323	1	0	9	
ERX359758	Lactobacillus graminis	Lactobacillus	Lactobacillus	4047	n.d.	AM113778.1.1548	943470	5292	4	0	16	
ERX359759	Lactobacillus frumenti	Lactobacillus	Lactobacillus	3089	11.000	AJ250074.1.1561	911095	3365	2	2	10	
ERX359760	Lactobacillus aviarius	Lactobacillus	Lactobacillus	4250	19.167	AB326355.1.1488	851983	5247	5	3	15	
ERX359761	Lactobacillus bifermentans	Lactobacillus	Lactobacillus	4297	27.500	JN175330.1.1500	1642496	5294	9	3	14	
ERX359762	Lactobacillus selangorensis	Lactobacillus	Lactobacillus	4669	28.500	AF049745.1.1495	1739563	7223	10	4	16	
ERX359763	Lactobacillus mali KCTC 3596 = DSM 20444	Lactobacillus	Lactobacillus	4615	17.000	BACP01000083.72.1611	1315695	5462	4	2	13	
ERX359764	Lactobacillus helveticus R0052	Lactobacillus	Lactobacillus	3500	n.d.	CP003799.455041.456601	898548	3925	5	0	11	
ERX359765	Lactobacillus plantarum	Lactobacillus	Lactobacillus	5312	n.d.	CP017363.2391933.2393508	1586303	5899	0	0	12	
ERX359767	Lactobacillus secaliphilus	Lactobacillus	Lactobacillus	3517	13.250	AM279150.1.1551	892132	3966	3	2	11	
ERX359768	Lactobacillus senioris	Lactobacillus	Lactobacillus	3649	n.d.	AB602570.1.1562	837530	4475	1	0	13	
ERX359769	Lactobacillus senmaizukei	Lactobacillus	Lactobacillus	3891	10.000	AB682140.1.1491	1108093	4446	0	3	10	
ERX359770	Lactobacillus sharpeae	Lactobacillus	Lactobacillus	3886	n.d.	M58831.1.1522	1338458	5210	2	0	14	
ERX359771	Lactobacillus siliginis	Lactobacillus	Lactobacillus	2889	10.167	AB681446.1.1500	999225	3576	1	3	10	
ERX359772	Lactobacillus similis	Lactobacillus	Lactobacillus	4587	13.000	AB282889.1.1528	1713001	5284	2	1	11	
ERX359773	Lactobacillus spicheri	Lactobacillus	Lactobacillus	5818	19.000	AJ534844.1.1536	1494019	6859	4	1	11	
ERX359775	Lactobacillus sunkii	Lactobacillus	Lactobacillus	3611	n.d.	AB366385.1.1567	1538112	4252	3	0	9	
ERX359776	Lactobacillus taiwanensis	Lactobacillus	Lactobacillus	7226	10.500	EU487512.1.1526	1010622	8093	1	1	10	
ERX359778	Lactobacillus ingluviei	Lactobacillus	Lactobacillus	3993	13.000	AF317702.1.1532	1141761	4554	2	2	12	
ERX359779	Lactobacillus tucceti	Lactobacillus	Lactobacillus	3187	n.d.	AJ576006.1.1557	1128224	4049	2	0	12	
ERX359780	Lactobacillus aquaticus	Lactobacillus	Lactobacillus	3717	24.500	DQ664203.1.1528	1275872	4783	5	1	12	
ERX359783	Lactobacillus animalis KCTC 3501 = DSM 20602	Lactobacillus	Lactobacillus	5044	n.d.	AEOF01000010.3322.4865	1039489	5995	5	0	15	
ERX399736	Lactobacillus algidus	Lactobacillus	Lactobacillus	2950	37.500	AB033209.1.1505	863087	4320	7	1	13	
ERX399737	Lactobacillus apodemi	Lactobacillus	Lactobacillus	4831	27.000	AJ871178.1.1532	1086086	6124	4	1	19	
ERX399738	Lactobacillus acidipiscis	Lactobacillus	Lactobacillus	2980	n.d.	LT630287.864207.865795	1244906	3391	3	0	13	
ERX399739	Lactobacillus cacaonum	Lactobacillus	Lactobacillus	4004	18.000	AM905389.1.1527	959257	4878	4	2	14	
ERX399740	Lactobacillus ceti	Lactobacillus	Lactobacillus	4527	21.900	AM292799.1.1397	788111	6409	7	5	17	
ERX399741	Lactobacillus paracollinoides	Lactobacillus	Lactobacillus	4312	14.250	CP014924.115701.117273	1822434	5179	3	2	12	
ERX399742	Lactobacillus concavus	Lactobacillus	Lactobacillus	3518	22.000	AY683322.1.1528	1026114	4568	4	1	14	
ERX399743	Lactobacillus delbrueckii subsp. lactis	Lactobacillus	Lactobacillus	7837	n.d.	LS991409.741198.742709	919027	8976	5	0	11	
ERX399744	Lactobacillus delbrueckii subsp. lactis DSM 20072	Lactobacillus	Lactobacillus	7853	13.250	AEXU01000148.103.1654	1010889	8909	3	2	11	
ERX399745	Lactobacillus delbrueckii subsp. indicus	Lactobacillus	Lactobacillus	7790	15.000	CP018614.1644696.1646266	991230	8866	4	2	11	
ERX399746	Lactobacillus dextrinicus	Lactobacillus	Lactobacillus	4044	n.d.	D87679.1.1464	968935	4927	8	0	14	
ERX399747	Lactobacillus fructivorans KCTC 3543 = DSM 20203	Lactobacillus	Lactobacillus	2817	n.d.	AEQY01000004.80.1635	698036	3420	7	0	12	
ERX399748	Lactobacillus fructivorans KCTC 3543 = DSM 20203	Lactobacillus	Lactobacillus	3027	14.000	AEQY01000004.80.1635	717006	3697	2	1	12	
ERX399749	Lactobacillus harbinensis	Lactobacillus	Lactobacillus	3884	24.250	AB194126.1.1507	1619225	4446	7	2	12	
ERX399750	Lactobacillus kunkeei	Lactobacillus	Lactobacillus	6031	26.500	CP012920.557031.558613	794970	7471	5	1	14	
ERX399751	Lactobacillus namurensis	Lactobacillus	Lactobacillus	4932	16.500	AM259118.1.1518	1290303	5731	3	1	12	
ERX399752	Lactobacillus heilongjiangensis	Lactobacillus	Lactobacillus	3669	17.000	CP012559.2345774.2347347	1593837	4090	4	1	9	
ERX399753	Lactobacillus odoratitofui	Lactobacillus	Lactobacillus	5042	n.d.	AB365975.1.1498	1443728	5803	2	0	13	
ERX399754	Lactobacillus ozensis	Lactobacillus	Lactobacillus	3723	n.d.	AB572588.1.1541	745700	4868	2	0	14	
ERX399755	Lactobacillus panis	Lactobacillus	Lactobacillus	4238	11.000	X94230.1.1490	1031455	4568	2	2	10	
ERX399756	Lactobacillus parabrevis	Lactobacillus	Lactobacillus	4804	19.000	AM158250.1.1518	1369843	5248	4	1	11	
ERX399757	Lactobacillus paracasei	Lactobacillus	Lactobacillus	3305	12.500	CP029686.1212146.1213724	1302049	3728	3	1	8	
ERX399758	Lactobacillus paracollinoides	Lactobacillus	Lactobacillus	3040	n.d.	CP014924.115701.117273	1791136	3572	6	0	13	
ERX399760	Lactobacillus paralimentarius	Lactobacillus	Lactobacillus	4120	18.667	AF183558.1.1522	1420557	4683	8	3	8	
ERX399761	Lactobacillus paraplantarum	Lactobacillus	Lactobacillus	3124	n.d.	CP032744.1079068.1080643	1690472	3569	3	0	10	
ERX399762	Lactobacillus paucivorans	Lactobacillus	Lactobacillus	3811	13.000	FN185731.1.1513	1290842	4195	0	1	13	
ERX399763	Lactobacillus plantarum	Lactobacillus	Lactobacillus	3975	n.d.	CP032359.485125.486700	1691188	4519	5	0	11	
ERX399764	Lactobacillus pobuzihii E100301 = KCTC 13174	Lactobacillus	Lactobacillus	3614	n.d.	AZCL01000058.618.2129	1133042	4088	3	0	12	
ERX399765	Lactobacillus pontis	Lactobacillus	Lactobacillus	5725	13.000	X76329.1.1570	1001019	6205	2	2	12	
ERX399766	Lactobacillus rennini	Lactobacillus	Lactobacillus	3341	n.d.	AJ576007.1.1546	1152629	4236	2	0	14	
ERX399767	Lactobacillus rossiae DSM 15814	Lactobacillus	Lactobacillus	2162	19.000	AKZK01000036.81.1634	1480334	3352	4	1	11	
ERX399768	Lactobacillus sakei	Lactobacillus	Lactobacillus	4558	16.500	CP020459.1926376.1927953	1053490	5396	1	1	16	
ERX399769	Lactobacillus saniviri	Lactobacillus	Lactobacillus	3893	14.000	AB602569.1.1558	1377189	6178	2	1	12	
ERX399770	Lactobacillus satsumensis	Lactobacillus	Lactobacillus	4346	17.500	AB154519.1.1556	1342848	5139	3	1	13	
ERX399772	Lactobacillus zymae	Lactobacillus	Lactobacillus	4532	20.000	LT854705.1650814.1652357	1443982	5716	4	1	12	
ERX399774	Lactobacillus ruminis ATCC 25644	Lactobacillus	Lactobacillus	3878	28.500	AFYE01000091.124.1666	1038457	4935	5	1	16	
ERX399775	Lactobacillus ruminis ATCC 25644	Lactobacillus	Lactobacillus	3658	18.000	AFYE01000091.124.1666	1057085	4616	4	2	14	
ERX405609	Lactobacillus aviarius subsp. araffinosus	Lactobacillus	Lactobacillus	4299	n.d.	JX986976.1.1515	771253	5455	3	0	18	
ERX405610	Lactobacillus fructivorans KCTC 3543 = DSM 20203	Lactobacillus	Lactobacillus	2880	11.000	AEQY01000004.80.1635	685307	3492	2	2	10	
ERX450850	Lactobacillus gastricus	Lactobacillus	Lactobacillus	3142	n.d.	AY253658.1.1550	1001464	3744	1	0	12	
ERX450851	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3819	10.000	CP014201.1046218.1047796	1398079	4392	0	1	10	
ERX450852	Lactobacillus crispatus ST1	Lactobacillus	Lactobacillus	3084	27.000	FN692037.427906.429457	1159246	3475	8	2	11	
ERX450853	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4024	13.000	AP018549.475961.477529	1010271	4558	2	1	11	
ERX450854	Lactobacillus plantarum	Lactobacillus	Lactobacillus	3257	12.000	CP022373.3025776.3027351	1755606	3712	2	1	10	
ERX450858	Lactobacillus parabuchneri	Lactobacillus	Lactobacillus	2960	n.d.	CP018796.1956265.1957835	1397850	3402	3	0	9	
ERX450859	Lactobacillus parabuchneri	Lactobacillus	Lactobacillus	3346	n.d.	CP018796.1956265.1957835	1322786	3884	3	0	8	
ERX450860	Lactobacillus crispatus ST1	Lactobacillus	Lactobacillus	3012	11.125	FN692037.427906.429457	1148929	3384	3	4	10	
ERX450861	Lactobacillus gastricus	Lactobacillus	Lactobacillus	2994	n.d.	AY253658.1.1550	1025448	3643	0	0	12	
ERX450862	Lactobacillus plantarum	Lactobacillus	Lactobacillus	3378	12.000	CP022373.3025776.3027351	1759293	3821	2	1	10	
ERX450867	Lactobacillus fermentum	Lactobacillus	Lactobacillus	4737	n.d.	CP025592.1563082.1564661	1068083	5305	3	0	8	
ERX450868	uncultured bacterium	Lactobacillus	Lactobacillus	3608	n.d.	AB969339.1.1567	1020678	3918	2	0	11	
ERX450869	Lactobacillus gastricus	Lactobacillus	Lactobacillus	3119	n.d.	AY253658.1.1550	1025413	3760	0	0	12	
ERX450870	Lactobacillus paracasei	Lactobacillus	Lactobacillus	3940	11.000	CP029686.1212146.1213724	1536666	4453	0	3	11	
ERX450874	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3779	13.500	CP014201.1046218.1047796	1455868	4363	3	1	9	
ERX450875	Lactobacillus paracasei	Lactobacillus	Lactobacillus	3329	n.d.	CP029686.1212146.1213724	1563734	3766	2	0	10	
ERX450876	Lactobacillus fermentum	Lactobacillus	Lactobacillus	4374	8.250	AP017973.1435046.1436618	1138819	4884	1	2	8	
ERX450877	Lactobacillus paracasei	Lactobacillus	Lactobacillus	3888	10.500	CP029686.1212146.1213724	1581151	4435	1	1	10	
ERX450878	Lactobacillus fermentum	Lactobacillus	Lactobacillus	4149	8.000	CP016803.1045686.1047241	1108111	4670	0	1	8	
ERX450882	Lactobacillus fermentum	Lactobacillus	Lactobacillus	4440	n.d.	CP025592.1563082.1564661	1044388	4998	2	0	8	
ERX450883	Lactobacillus helveticus R0052	Lactobacillus	Lactobacillus	2278	10.500	CP003799.455041.456601	982443	2558	1	1	10	
ERX450884	uncultured bacterium	Lactobacillus	Lactobacillus	3593	n.d.	AY959177.1.1555	1016560	3886	1	0	11	
ERX450890	Lactobacillus antri DSM 16041	Lactobacillus	Lactobacillus	3757	15.500	ACLL01000037.71.1634	1256995	4130	3	1	11	
ERX450891	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3104	10.125	CP014201.1046218.1047796	1413549	3637	3	4	9	
ERX450892	Lactobacillus fermentum	Lactobacillus	Lactobacillus	4224	n.d.	AP017973.1435046.1436618	1108656	4738	0	0	9	
ERX450893	Lactobacillus paracasei	Lactobacillus	Lactobacillus	3882	n.d.	CP029686.1212146.1213724	1577721	4406	1	0	9	
ERX450898	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	3084	9.500	AP018549.475961.477529	1071693	3511	1	1	9	
ERX450899	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	3134	n.d.	AP018549.475961.477529	1001411	3594	3	0	10	
ERX450900	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3947	n.d.	CP014201.1046218.1047796	1507411	4508	5	0	9	
ERX450901	Lactobacillus paracasei	Lactobacillus	Lactobacillus	3893	12.000	CP029686.1212146.1213724	1579970	4442	2	1	10	
ERX450906	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3831	n.d.	CP014201.1046218.1047796	1455832	4417	2	0	9	
ERX450907	uncultured bacterium	Lactobacillus	Lactobacillus	3442	12.000	AB969339.1.1567	926997	3723	2	2	11	
ERX450908	Lactobacillus fermentum	Lactobacillus	Lactobacillus	4355	12.500	AP017973.1435046.1436618	1127164	4832	3	1	8	
ERX450909	Lactobacillus paracasei	Lactobacillus	Lactobacillus	3484	10.000	CP029686.1212146.1213724	1498422	3957	2	2	9	
ERX450914	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4092	n.d.	AP018549.475961.477529	955344	4680	3	0	9	
ERX450915	Lactobacillus fermentum	Lactobacillus	Lactobacillus	4804	n.d.	CP016803.1045686.1047241	1091386	5377	2	0	10	
ERX450916	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	3819	n.d.	CP000413.1565823.1567401	921452	4267	0	0	11	
ERX450917	uncultured bacterium	Lactobacillus	Lactobacillus	3829	12.250	AB969339.1.1567	965134	4126	3	2	10	
ERX450922	Lactobacillus salivarius	Lactobacillus	Lactobacillus	5427	16.000	CP017107.541095.542664	985339	6585	2	2	15	
ERX450923	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3722	n.d.	CP014201.1046218.1047796	1320252	4275	1	0	12	
ERX450924	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3865	14.500	CP014201.1046218.1047796	1507666	4480	3	1	10	
ERX450925	Lactobacillus oris	Lactobacillus	Lactobacillus	4593	14.500	CP014789.8842.10425	1177636	5050	3	1	10	
ERX450930	Lactobacillus plantarum	Lactobacillus	Lactobacillus	3069	12.000	CP022373.3025776.3027351	1642253	3510	2	1	10	
ERX450931	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3827	14.500	CP014201.1046218.1047796	1505155	4403	3	1	10	
ERX450932	Lactobacillus fermentum	Lactobacillus	Lactobacillus	4210	7.000	AP017973.1435046.1436618	1084891	4713	0	3	7	
ERX450933	Lactobacillus salivarius	Lactobacillus	Lactobacillus	5386	15.500	CP017107.1020383.1021952	953988	6661	1	1	15	
ERX450938	Lactobacillus helveticus R0052	Lactobacillus	Lactobacillus	3073	n.d.	CP003799.455041.456601	991724	3486	2	0	11	
ERX450939	Lactobacillus gasseri ATCC 33323 = JCM 1131	Lactobacillus	Lactobacillus	4036	11.250	CP000413.1565823.1567401	934587	4489	3	2	9	
ERX450940	Lactobacillus gastricus	Lactobacillus	Lactobacillus	2994	n.d.	AY253658.1.1550	1035628	3644	0	0	13	
ERX450941	Lactobacillus plantarum	Lactobacillus	Lactobacillus	3397	n.d.	CP022373.3025776.3027351	1672897	3866	0	0	10	
ERX450946	Lactobacillus koreensis	Lactobacillus	Lactobacillus	5120	11.000	CP012033.1330944.1332518	1620339	5563	2	2	10	
ERX450947	Lactobacillus sucicola	Lactobacillus	Lactobacillus	4130	15.500	AB433982.1.1503	1221034	5418	3	3	14	
ERX529100	Lactobacillus salivarius	Lactobacillus	Lactobacillus	5993	n.d.	CP017107.541095.542664	1011268	7313	3	0	16	
ERX529101	Lactobacillus fermentum	Lactobacillus	Lactobacillus	4677	11.500	AP017973.1435046.1436618	1283509	5175	3	1	7	
ERX529102	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4325	n.d.	AP018549.475961.477529	1002242	4891	4	0	10	
ERX529103	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4328	n.d.	AP018549.475961.477529	1002030	4921	6	0	11	
ERX529104	Lactobacillus oris	Lactobacillus	Lactobacillus	5149	15.500	CP014789.8842.10425	1431978	5573	3	1	11	
ERX529105	Lactobacillus salivarius	Lactobacillus	Lactobacillus	7188	32.000	CP017107.541095.542664	995413	8769	6	1	14	
ERX529106	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4663	n.d.	AP018549.475961.477529	1039756	5305	4	0	10	
ERX529107	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3908	10.000	CP014201.1046218.1047796	1535667	4502	2	2	9	
ERX529108	Lactobacillus salivarius	Lactobacillus	Lactobacillus	6012	22.000	CP017107.541095.542664	1025573	7269	4	1	14	
ERX529109	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4595	n.d.	AP018549.475961.477529	1004903	5189	5	0	12	
ERX529110	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3864	n.d.	CP014201.1046218.1047796	1500364	4437	0	0	11	
ERX529111	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4446	n.d.	AP018549.475961.477529	1009989	5059	2	0	11	
ERX529112	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4334	15.250	CP014201.1046218.1047796	1589157	5100	5	2	9	
ERX529113	Lactobacillus fermentum	Lactobacillus	Lactobacillus	5310	12.500	CP016803.1045686.1047241	1279639	5931	3	1	8	
ERX529114	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3949	n.d.	CP014201.1046218.1047796	1403716	4525	4	0	11	
ERX529115	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	3794	19.000	CP014201.1046218.1047796	1388158	4356	4	1	11	
ERX529116	Lactobacillus fermentum	Lactobacillus	Lactobacillus	5213	13.500	CP025592.1563082.1564661	1175560	5788	3	1	9	
ERX529117	Lactobacillus salivarius	Lactobacillus	Lactobacillus	5327	16.250	CP017107.541095.542664	1023346	6629	3	2	14	
ERX529118	Lactobacillus fermentum	Lactobacillus	Lactobacillus	6057	n.d.	CP025592.1563082.1564661	1337134	6698	4	0	9	
ERX529119	Lactobacillus fermentum	Lactobacillus	Lactobacillus	6140	n.d.	CP025592.1563082.1564661	1324939	6791	5	0	9	
ERX529120	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4476	n.d.	CP014201.1046218.1047796	1600312	5093	2	0	11	
ERX529121	Lactobacillus paracasei	Lactobacillus	Lactobacillus	3892	13.500	CP029686.1212146.1213724	1633101	4367	3	1	9	
ERX529122	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4249	17.000	CP014201.1046218.1047796	1482009	4892	4	1	9	
ERX529123	Lactobacillus fermentum	Lactobacillus	Lactobacillus	6213	n.d.	CP025592.1563082.1564661	1231939	6897	3	0	8	
ERX529124	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	4442	12.000	AP018549.475961.477529	982223	4961	2	1	10	
ERX529125	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4169	10.500	CP014201.1046218.1047796	1478934	4734	1	1	10	
ERX529126	Lactobacillus paragasseri	Lactobacillus	Lactobacillus	5497	23.500	AP018549.475961.477529	982228	6139	5	1	11	
ERX529127	Lactobacillus fermentum	Lactobacillus	Lactobacillus	7472	n.d.	CP025592.1563082.1564661	1488840	8292	3	0	9	
ERX529128	Lactobacillus rhamnosus	Lactobacillus	Lactobacillus	4243	n.d.	CP014201.1046218.1047796	1494068	4871	3	0	11	
